id,lat,lon,alt,name,tz,search_name
KCVG,39.04,-84.67,271.0,"Covington / Cincinnati, Cincinnati / Northern Kentucky Inter",America/New_York,"Covington / Cincinnati, Cincinnati / Northern Kentucky Inter"
KLUK,39.11,-84.42,165.0,"Cincinnati, Cincinnati Municipal Airport Lunken Field",America/New_York,"Cincinnati, Cincinnati Municipal Airport Lunken Field"
KBNA,36.12,-86.69,183.0,"Nashville, Nashville International Airport",America/Chicago,"Nashville, Nashville International Airport"
KJWN,36.18,-86.89,151.0,John C Tune Airport,America/Chicago,John C Tune Airport
KSPI,39.85,-89.68,178.0,"Springfield, Abraham Lincoln Capital Airport",America/Chicago,"Springfield, Abraham Lincoln Capital Airport"
KEYE,39.83,-86.3,245.0,"Indianapolis, Eagle Creek Airpark",America/New_York,"Indianapolis, Eagle Creek Airpark"
KIND,39.73,-86.28,240.0,"Indianapolis, Indianapolis International Airport",America/New_York,"Indianapolis, Indianapolis International Airport"
KLOU,38.23,-85.66,164.0,"Louisville, Bowman Field Airport",America/New_York,"Louisville, Bowman Field Airport"
KSDF,38.18,-85.73,138.0,"Louisville, Standiford Field",America/New_York,"Louisville, Standiford Field"
KJVY,38.37,-85.74,144.0,Clark Regional Airport,America/New_York,Clark Regional Airport
KCAE,33.94,-81.12,61.0,"Columbia, Columbia Metropolitan Airport",America/New_York,"Columbia, Columbia Metropolitan Airport"
KCUB,33.97,-80.99,52.0,"Columbia, Columbia Owens Downtown Airport",America/New_York,"Columbia, Columbia Owens Downtown Airport"
KGKY,32.66,-97.1,182.0,"Arlington, Arlington Municipal Airport",America/Chicago,"Arlington, Arlington Municipal Airport"
KGPM,32.7,-97.05,176.0,"Grand Prairie, Grand Prairie Municipal Airport",America/Chicago,"Grand Prairie, Grand Prairie Municipal Airport"
KDMA,32.17,-110.88,805.0,Davis-Monthan Air Force Base,America/Phoenix,Davis-Monthan Air Force Base
KTUS,32.13,-110.96,779.0,"Tucson, Tucson International Airport",America/Phoenix,"Tucson, Tucson International Airport"
KROC,43.12,-77.68,167.0,"Rochester, Greater Rochester International Airport",America/New_York,"Rochester, Greater Rochester International Airport"
KOFP,37.71,-77.43,61.0,"Ashland, Hanover County Municipal Airport",America/New_York,"Ashland, Hanover County Municipal Airport"
KRIC,37.51,-77.32,41.0,"Richmond, Richmond International Airport",America/New_York,"Richmond, Richmond International Airport"
KFCI,37.41,-77.53,72.0,Chesterfield County Airport,America/New_York,Chesterfield County Airport
KBKL,41.53,-81.67,174.0,"Cleveland, Burke Lakefront Airport",America/New_York,"Cleveland, Burke Lakefront Airport"
KCGF,41.57,-81.48,262.0,Cleveland / Cuyahoga,America/New_York,Cleveland / Cuyahoga
KCLE,41.41,-81.85,230.0,"Cleveland, Cleveland-Hopkins International Airport",America/New_York,"Cleveland, Cleveland-Hopkins International Airport"
KBWI,39.17,-76.68,45.0,"Baltimore, Baltimore-Washington International Airport",America/New_York,"Baltimore, Baltimore-Washington International Airport"
KMTN,39.33,-76.42,1.0,Baltimore / Martin,America/New_York,Baltimore / Martin
KMKC,39.12,-94.6,225.0,"Kansas City, Kansas City Downtown Airport",America/Chicago,"Kansas City, Kansas City Downtown Airport"
KALB,42.75,-73.8,90.0,"Albany, Albany International Airport",America/New_York,"Albany, Albany International Airport"
KFTW,32.83,-97.36,213.0,"Fort Worth, Meacham International Airport",America/Chicago,"Fort Worth, Meacham International Airport"
KNFW,32.77,-97.43,183.0,"Fort Worth, Naval Air Station",America/Chicago,"Fort Worth, Naval Air Station"
KMCC,38.67,-121.4,18.0,"Sacramento, McClellan Airfield Airport",America/Los_Angeles,"Sacramento, McClellan Airfield Airport"
KMHR,38.55,-121.3,24.0,"Sacramento, Sacramento Mather Airport",America/Los_Angeles,"Sacramento, Sacramento Mather Airport"
KSAC,38.51,-121.49,5.0,"Sacramento, Sacramento Executive Airport",America/Los_Angeles,"Sacramento, Sacramento Executive Airport"
KSMF,38.7,-121.59,5.0,"Sacramento, Sacramento International Airport",America/Los_Angeles,"Sacramento, Sacramento International Airport"
KCNU,37.67,-95.48,304.0,"Chanute, Chanute Martin Johnson Airport",America/Chicago,"Chanute, Chanute Martin Johnson Airport"
KMEM,35.06,-89.98,76.0,"Memphis, Memphis International Airport",America/Chicago,"Memphis, Memphis International Airport"
KAWM,35.13,-90.23,64.0,"West Memphis, West Memphis Municipal Airport",America/Chicago,"West Memphis, West Memphis Municipal Airport"
KMKE,42.96,-87.9,217.0,"Milwaukee, General Mitchell International Airport",America/Chicago,"Milwaukee, General Mitchell International Airport"
KMWC,43.12,-88.03,228.0,Milwaukee / Timmerman,America/Chicago,Milwaukee / Timmerman
KAFF,38.97,-104.82,1999.0,Air Force Academy,America/Denver,Air Force Academy
KCOS,38.82,-104.71,1886.0,"Colorado Springs, City Of Colorado Springs Municipal Airport",America/Denver,"Colorado Springs, City Of Colorado Springs Municipal Airport"
KFCS,38.7,-104.77,1737.0,Fort Carson,America/Denver,Fort Carson
KDET,42.41,-83.01,191.0,"Detroit, Detroit City Airport",America/New_York,"Detroit, Detroit City Airport"
KDAA,38.72,-77.18,15.0,Fort Belvoir,America/New_York,Fort Belvoir
KSGS,44.86,-93.03,244.0,"South St. Paul, South St. Paul Municipal-Richard E. Fleming",America/Chicago,"South St. Paul, South St. Paul Municipal-Richard E. Fleming"
K21D,45.0,-92.86,284.0,Lake Elmo Airport,America/Chicago,Lake Elmo Airport
KOKC,35.39,-97.6,395.0,"Oklahoma City, Will Rogers World Airport",America/Chicago,"Oklahoma City, Will Rogers World Airport"
KPWA,35.54,-97.65,401.0,"Oklahoma City, Wiley Post Airport",America/Chicago,"Oklahoma City, Wiley Post Airport"
KTIK,35.42,-97.38,390.0,Tinker Air Force Base,America/Chicago,Tinker Air Force Base
KMSN,43.14,-89.35,259.0,"Madison, Dane County Regional-Truax Field",America/Chicago,"Truax"
KC29,43.11,-89.53,283.0,Middleton Municipal Morey Field,America/Chicago,Middleton Municipal Morey Field
KABQ,35.04,-106.61,1615.0,"Albuquerque, Albuquerque International Airport",America/Denver,"Albuquerque, Albuquerque International Airport"
KAEG,35.15,-106.79,1767.0,"Albuquerque, Double Eagle II Airport",America/Denver,"Albuquerque, Double Eagle II Airport"
KCDW,40.88,-74.28,57.0,"Caldwell, Essex County Airport",America/New_York,"Caldwell, Essex County Airport"
KLDJ,40.62,-74.24,7.0,Linden Airport,America/New_York,Linden Airport
KMLE,41.2,-96.11,323.0,"Omaha, Millard Airport",America/Chicago,"Omaha, Millard Airport"
KARR,41.77,-88.48,213.0,"Aurora, Aurora Municipal Airport",America/Chicago,"Aurora, Aurora Municipal Airport"
KDPA,41.9,-88.25,228.0,"Chicago / West Chicago, Dupage Airport",America/Chicago,"Chicago / West Chicago, Dupage Airport"
KAOH,40.71,-84.02,287.0,"Lima, Lima Allen County Airport",America/New_York,"Lima, Lima Allen County Airport"
KDAY,39.91,-84.22,304.0,"Dayton, Cox Dayton International Airport",America/New_York,"Dayton, Cox Dayton International Airport"
KFFO,39.83,-84.05,246.0,Dayton / Wright-Patterson Air Force Base,America/New_York,Dayton / Wright-Patterson Air Force Base
KMGY,39.59,-84.22,295.0,"Dayton, Dayton-Wright Brothers Airport",America/New_York,"Dayton, Dayton-Wright Brothers Airport"
KLGB,33.81,-118.15,25.0,"Long Beach, Long Beach Airport",America/Los_Angeles,"Long Beach, Long Beach Airport"
KTOA,33.8,-118.33,30.0,"Torrance, Zamperini Field Airport",America/Los_Angeles,"Torrance, Zamperini Field Airport"
KFLL,26.07,-80.15,3.0,"Fort Lauderdale, Fort Lauderdale / Hollywood International A",America/New_York,"Fort Lauderdale, Fort Lauderdale / Hollywood International A"
KFXE,26.2,-80.18,3.0,"Fort Lauderdale, Fort Lauderdale Executive Airport",America/New_York,"Fort Lauderdale, Fort Lauderdale Executive Airport"
KPMP,26.25,-80.11,4.0,"Pompano Beach, Pompano Beach Airpark",America/New_York,"Pompano Beach, Pompano Beach Airpark"
KHWO,26.0,-80.24,3.0,"Hollywood, North Perry Airport",America/New_York,"Hollywood, North Perry Airport"
KLEX,38.04,-84.61,274.0,"Lexington, Blue Grass Airport",America/New_York,"Lexington, Blue Grass Airport"
KBHM,33.57,-86.74,208.0,"Birmingham, Birmingham International Airport",America/Chicago,"Birmingham, Birmingham International Airport"
KASG,36.18,-94.12,408.0,Springdale Municipal,America/Chicago,Springdale Municipal
KFYV,36.01,-94.17,393.0,"Fayetteville, Drake Field",America/Chicago,"Fayetteville, Drake Field"
KSDM,32.58,-116.99,123.0,"San Diego, Brown Field Municipal Airport",America/Los_Angeles,"San Diego, Brown Field Municipal Airport"
KFFZ,33.47,-111.73,405.0,Mesa / Falcon Field,America/Phoenix,Mesa / Falcon Field
KSDL,33.62,-111.91,446.0,"Scottsdale, Scottsdale Airport",America/Phoenix,"Scottsdale, Scottsdale Airport"
KILG,39.67,-75.6,15.0,"Wilmington, New Castle County Airport",America/New_York,"Wilmington, New Castle County Airport"
KGMU,34.85,-82.35,305.0,"Greenville, Greenville Downtown Airport",America/New_York,"Greenville, Greenville Downtown Airport"
KGSP,34.88,-82.22,274.0,"Greer, Greenville-Spartanburg Airport",America/New_York,"Greer, Greenville-Spartanburg Airport"
KGYH,34.76,-82.38,291.0,Donaldson Center Airport,America/New_York,Donaldson Center Airport
KLNS,40.12,-76.29,121.0,"Lancaster, Lancaster Airport",America/New_York,"Lancaster, Lancaster Airport"
KE16,37.08,-121.6,86.0,South County Arpt Of Santa Clara County,America/Los_Angeles,South County Arpt Of Santa Clara County
KBIF,31.85,-106.38,1197.0,Biggs Army Air Field / Ft. Bliss,America/Denver,Biggs Army Air Field / Ft. Bliss
KELP,31.81,-106.38,1205.0,"El Paso, El Paso International Airport",America/Denver,"El Paso, El Paso International Airport"
KTRM,33.63,-116.16,-32.0,"Palm Springs, Jacqueline Cochran Regional Airport",America/Los_Angeles,"Palm Springs, Jacqueline Cochran Regional Airport"
KCHD,33.27,-111.81,377.0,"Chandler, Chandler Municipal Airport",America/Phoenix,"Chandler, Chandler Municipal Airport"
KIWA,33.32,-111.65,422.0,"Mesa, Williams Gateway Airport",America/Phoenix,"Mesa, Williams Gateway Airport"
KMGE,33.92,-84.52,312.0,Marietta / Dobbins Air Force Base,America/New_York,Marietta / Dobbins Air Force Base
KRYY,34.01,-84.6,305.0,"Marietta, Cobb County-McCollum Field Airport",America/New_York,"Marietta, Cobb County-McCollum Field Airport"
KSLE,44.91,-122.99,59.0,"Salem, McNary Field",America/Los_Angeles,"Salem, McNary Field"
KVLL,42.54,-83.18,217.0,"Troy, Oakland/Troy Airport",America/New_York,"Troy, Oakland/Troy Airport"
KGRR,42.88,-85.52,243.0,"Grand Rapids, Gerald R. Ford International Airport",America/New_York,"Grand Rapids, Gerald R. Ford International Airport"
KLNK,40.83,-96.76,354.0,"Lincoln, Lincoln Municipal Airport",America/Chicago,"Lincoln, Lincoln Municipal Airport"
