id,lat,lon,alt,name,tz
KCLE,41.41,-81.85,230.0,"Cleveland, Cleveland-Hopkins International Airport",America/New_York
KBWI,39.17,-76.68,45.0,"Baltimore, Baltimore-Washington International Airport",America/New_York
KMTN,39.33,-76.42,1.0,Baltimore / Martin,America/New_York
KMKC,39.12,-94.6,225.0,"Kansas City, Kansas City Downtown Airport",America/Chicago
KALB,42.75,-73.8,90.0,"Albany, Albany International Airport",America/New_York
KFTW,32.83,-97.36,213.0,"Fort Worth, Meacham International Airport",America/Chicago
KNFW,32.77,-97.43,183.0,"Fort Worth, Naval Air Station",America/Chicago
KMCC,38.67,-121.4,18.0,"Sacramento, McClellan Airfield Airport",America/Los_Angeles
KMHR,38.55,-121.3,24.0,"Sacramento, Sacramento Mather Airport",America/Los_Angeles
KSAC,38.51,-121.49,5.0,"Sacramento, Sacramento Executive Airport",America/Los_Angeles
KSMF,38.7,-121.59,5.0,"Sacramento, Sacramento International Airport",America/Los_Angeles
KCNU,37.67,-95.48,304.0,"Chanute, Chanute Martin Johnson Airport",America/Chicago
KMEM,35.06,-89.98,76.0,"Memphis, Memphis International Airport",America/Chicago
KAWM,35.13,-90.23,64.0,"West Memphis, West Memphis Municipal Airport",America/Chicago
KMKE,42.96,-87.9,217.0,"Milwaukee, General Mitchell International Airport",America/Chicago
KMWC,43.12,-88.03,228.0,Milwaukee / Timmerman,America/Chicago
KAFF,38.97,-104.82,1999.0,Air Force Academy,America/Denver
KCOS,38.82,-104.71,1886.0,"Colorado Springs, City Of Colorado Springs Municipal Airport",America/Denver
KFCS,38.7,-104.77,1737.0,Fort Carson,America/Denver
KDET,42.41,-83.01,191.0,"Detroit, Detroit City Airport",America/New_York
KDAA,38.72,-77.18,15.0,Fort Belvoir,America/New_York
KSGS,44.86,-93.03,244.0,"South St. Paul, South St. Paul Municipal-Richard E. Fleming",America/Chicago
K21D,45.0,-92.86,284.0,Lake Elmo Airport,America/Chicago
KOKC,35.39,-97.6,395.0,"Oklahoma City, Will Rogers World Airport",America/Chicago
KPWA,35.54,-97.65,401.0,"Oklahoma City, Wiley Post Airport",America/Chicago
KTIK,35.42,-97.38,390.0,Tinker Air Force Base,America/Chicago
KMSN,43.14,-89.35,259.0,"Madison, Dane County Regional-Truax Field",America/Chicago
KC29,43.11,-89.53,283.0,Middleton Municipal Morey Field,America/Chicago
KABQ,35.04,-106.61,1615.0,"Albuquerque, Albuquerque International Airport",America/Denver
KAEG,35.15,-106.79,1767.0,"Albuquerque, Double Eagle II Airport",America/Denver
KCDW,40.88,-74.28,57.0,"Caldwell, Essex County Airport",America/New_York
KLDJ,40.62,-74.24,7.0,Linden Airport,America/New_York
KMLE,41.2,-96.11,323.0,"Omaha, Millard Airport",America/Chicago
KARR,41.77,-88.48,213.0,"Aurora, Aurora Municipal Airport",America/Chicago
KDPA,41.9,-88.25,228.0,"Chicago / West Chicago, Dupage Airport",America/Chicago
KAOH,40.71,-84.02,287.0,"Lima, Lima Allen County Airport",America/New_York
KDAY,39.91,-84.22,304.0,"Dayton, Cox Dayton International Airport",America/New_York
KFFO,39.83,-84.05,246.0,Dayton / Wright-Patterson Air Force Base,America/New_York
KMGY,39.59,-84.22,295.0,"Dayton, Dayton-Wright Brothers Airport",America/New_York
KLGB,33.81,-118.15,25.0,"Long Beach, Long Beach Airport",America/Los_Angeles
KTOA,33.8,-118.33,30.0,"Torrance, Zamperini Field Airport",America/Los_Angeles
KFLL,26.07,-80.15,3.0,"Fort Lauderdale, Fort Lauderdale / Hollywood International A",America/New_York
KFXE,26.2,-80.18,3.0,"Fort Lauderdale, Fort Lauderdale Executive Airport",America/New_York
KPMP,26.25,-80.11,4.0,"Pompano Beach, Pompano Beach Airpark",America/New_York
KHWO,26.0,-80.24,3.0,"Hollywood, North Perry Airport",America/New_York
KLEX,38.04,-84.61,274.0,"Lexington, Blue Grass Airport",America/New_York
KBHM,33.57,-86.74,208.0,"Birmingham, Birmingham International Airport",America/Chicago
KASG,36.18,-94.12,408.0,Springdale Municipal,America/Chicago
KFYV,36.01,-94.17,393.0,"Fayetteville, Drake Field",America/Chicago
KSDM,32.58,-116.99,123.0,"San Diego, Brown Field Municipal Airport",America/Los_Angeles
KFFZ,33.47,-111.73,405.0,Mesa / Falcon Field,America/Phoenix
KSDL,33.62,-111.91,446.0,"Scottsdale, Scottsdale Airport",America/Phoenix
KILG,39.67,-75.6,15.0,"Wilmington, New Castle County Airport",America/New_York
KGMU,34.85,-82.35,305.0,"Greenville, Greenville Downtown Airport",America/New_York
KGSP,34.88,-82.22,274.0,"Greer, Greenville-Spartanburg Airport",America/New_York
KGYH,34.76,-82.38,291.0,Donaldson Center Airport,America/New_York
KLNS,40.12,-76.29,121.0,"Lancaster, Lancaster Airport",America/New_York
KE16,37.08,-121.6,86.0,South County Arpt Of Santa Clara County,America/Los_Angeles
KBIF,31.85,-106.38,1197.0,Biggs Army Air Field / Ft. Bliss,America/Denver
KELP,31.81,-106.38,1205.0,"El Paso, El Paso International Airport",America/Denver
KTRM,33.63,-116.16,-32.0,"Palm Springs, Jacqueline Cochran Regional Airport",America/Los_Angeles
KCHD,33.27,-111.81,377.0,"Chandler, Chandler Municipal Airport",America/Phoenix
KIWA,33.32,-111.65,422.0,"Mesa, Williams Gateway Airport",America/Phoenix
KMGE,33.92,-84.52,312.0,Marietta / Dobbins Air Force Base,America/New_York
KRYY,34.01,-84.6,305.0,"Marietta, Cobb County-McCollum Field Airport",America/New_York
KSLE,44.91,-122.99,59.0,"Salem, McNary Field",America/Los_Angeles
KVLL,42.54,-83.18,217.0,"Troy, Oakland/Troy Airport",America/New_York
KGRR,42.88,-85.52,243.0,"Grand Rapids, Gerald R. Ford International Airport",America/New_York
KLNK,40.83,-96.76,354.0,"Lincoln, Lincoln Municipal Airport",America/Chicago
KJAN,32.32,-90.08,87.0,"Jackson, Jackson International Airport",America/Chicago
KHKS,32.33,-90.22,91.0,"Jackson, Hawkins Field Airport",America/Chicago
KMBO,32.44,-90.1,99.0,Bruce Campbell Field,America/Chicago
KGRF,47.12,-122.55,91.0,Fort Lewis / Gray U. S. Army Airfield,America/Los_Angeles
KTCM,47.15,-122.48,94.0,Tacoma / McChord Air Force Base,America/Los_Angeles
KTIW,47.27,-122.58,84.0,"Tacoma, Tacoma Narrows Airport",America/Los_Angeles
KLRJ,42.78,-96.19,368.0,"Le Mars, Le Mars Municipal Airport",America/Chicago
KADS,32.97,-96.83,198.0,Dallas / Addison Airport,America/Chicago
KTKI,33.18,-96.59,168.0,"Mc Kinney, Collin County Regional Airport at Mc Kinney",America/Chicago
KGEG,47.62,-117.53,715.0,"Spokane, Spokane International Airport",America/Los_Angeles
KSFF,47.69,-117.32,605.0,"Spokane, Felts Field",America/Los_Angeles
KSKA,47.62,-117.65,742.0,Fairchild Air Force Base,America/Los_Angeles
KMSY,29.99,-90.25,2.0,"New Orleans, New Orleans International Airport",America/Chicago
KNBG,29.83,-90.03,1.0,"New Orleans, Naval Air Station - Alvin Callender Field",America/Chicago
KNEW,30.05,-90.03,1.0,"New Orleans, New Orleans Lakefront Airport",America/Chicago
KNTU,36.82,-76.03,5.0,"Virginia Beach, Oceana, Naval Air Station",America/New_York
KORF,36.9,-76.19,5.0,"Norfolk, Norfolk International Airport",America/New_York
KMDQ,34.86,-86.56,218.0,"Huntsville, Madison County Executive Airport",America/Chicago
KHUA,34.68,-86.68,208.0,Redstone Army Air Field,America/Chicago
KHWD,37.66,-122.12,20.0,"Hayward, Hayward Air Terminal",America/Los_Angeles
KPAO,37.47,-122.12,1.0,Palo Alto Airport,America/Los_Angeles
KTYS,35.82,-83.99,299.0,"Knoxville, McGhee Tyson Airport",America/New_York
KDKX,35.97,-83.87,261.0,Knoxville Downtown,America/New_York
KDFW,32.9,-97.02,167.0,"Dallas / Fort Worth, Dallas / Fort Worth International Airpo",America/Chicago
KRVS,36.04,-95.99,199.0,"Tulsa, Jones Jr. Airport",America/Chicago
KTUL,36.2,-95.89,201.0,"Tulsa, Tulsa International Airport",America/Chicago
KOWP,36.18,-96.15,272.0,William R. Pogue Municipal Airport,America/Chicago
KIAB,37.62,-97.27,410.0,McConnell Air Force Base,America/Chicago
KICT,37.65,-97.43,399.0,"Wichita, Wichita Mid-Continent Airport",America/Chicago
KAAO,37.75,-97.22,426.0,"Wichita, Colonel James Jabara Airport",America/Chicago
KBEC,37.69,-97.21,429.0,Beech Factory Airport,America/Chicago
KFAT,36.78,-119.72,91.0,"Fresno, Fresno Air Terminal",America/Los_Angeles
KGNV,29.69,-82.28,40.0,"Gainesville, Gainesville Regional Airport",America/New_York
KDEC,39.83,-88.87,207.0,"Decatur, Decatur Airport",America/Chicago
KBOI,43.57,-116.24,854.0,"Boise, Boise Air Terminal",America/Denver
KMGM,32.3,-86.41,78.0,"Montgomery, Dannelly Field",America/Chicago
KMXF,32.38,-86.37,46.0,Maxwell Air Force Base / Montgomery,America/Chicago
KCYS,41.16,-104.81,1878.0,"Cheyenne, Cheyenne Airport",America/Denver
KFEW,41.13332,-104.86719,1889.0,WARREN AFB,America/Denver
KDWH,30.07,-95.56,48.0,"Houston, Hooks Memorial Airport",America/Chicago
KIAH,29.99,-95.36,28.0,"Houston, Houston Intercontinental Airport",America/Chicago
KSRQ,27.4,-82.56,7.0,"Sarasota / Bradenton, Sarasota-Bradenton International Airpo",America/New_York
KNYG,38.51,-77.29,3.0,"Quantico, Marine Corps Air Facility",America/New_York
