id,lat,lon,alt,name,tz,search_name
HEIS,30.58,32.25,3.0,[unknown],Africa/Cairo,[unknown]
GMMZ,30.93,-6.9,1131.0,Ouarzazate,Africa/Casablanca,Ouarzazate
GMTT,35.73,-5.9,14.0,Tanger Aerodrome,Africa/Casablanca,Tangier
DABS,35.48,8.13,999.0,Tebessa,Africa/Algiers,Tebessa
OIMD,34.35,58.68,1104.0,Gonabad Airport,Asia/Tehran,Gonabad
OAHR,34.22,62.22,984.0,Herat,Asia/Kabul,Herat
DAUE,30.57,2.87,422.0,El Golea,Africa/Algiers,El Golea
DAAV,36.8,5.88,10.0,Jijel Achouat,Africa/Algiers,Jijel Achouat
DABT,35.75,6.316669999999999,1033.0,Batna,Africa/Algiers,Batna
OEAB,18.23,42.65,2124.0,Abha,Asia/Riyadh,Abha
DTTN,36.48,8.8,143.0,Jendouba,Africa/Tunis,Jendouba
OERF,29.62,43.48,443.0,Rafha,Asia/Riyadh,Rafha
DAUG,32.38,3.82,429.0,Ghardaia,Africa/Algiers,Ghardaia
60285,28.45,-11.15,111.0,TAN-TAN,Africa/Casablanca,TAN-TAN
OIKK,30.25,56.97,1748.0,Kerman,Asia/Tehran,Kerman
OIHH,34.87,48.55,1759.0,Hamadan,Asia/Tehran,Hamadan
60195,32.68,-4.73,1470.0,MIDELT,Africa/Casablanca,MIDELT
OEDM,24.45,44.12,922.0,Prince Salman Bin Abdulaziz Airport,Asia/Riyadh,Riyadh
61080,13.47,7.08,358.0,MARADI,Africa/Niamey,MARADI
DAAY,33.53585,-0.24235,825.0,Mecheria,Africa/Algiers,Mecheria
KQTI,36.28,42.4,300.0,Tal Afar Airport,Asia/Baghdad,Tal Afar
DTTK,35.67,10.1,67.0,Kairouan,Africa/Tunis,Kairouan
HESC,28.69,34.06,1331.0,St Catherine International Airport,Africa/Cairo,St Catherine International Airport
OICI,33.59,46.41,1379.0,Ilam,Asia/Tehran,Ilam
GMMD,32.37,-6.38,476.0,BENI-MELLAL,Africa/Casablanca,BENI-MELLAL
OING,36.90938,54.40134000000001,238.0,Gorgan,Asia/Tehran,Gorgan
HEBA,30.91767,29.69641,53.0,Alexandria Borg El Arab,Africa/Cairo,Alexandria Borg El Arab
DTTX,34.72,10.68,26.0,Sfax El-Maou,Africa/Tunis,Sfax
60210,31.93,-4.4,1024.0,ERRACHIDIA,Africa/Casablanca,ERRACHIDIA
DTMB,35.77,10.75,1.0,Habib Bourguiba,Africa/Tunis,Hammamet
40400,26.2,36.48,24.0,AL-WEJH,Asia/Riyadh,AL-WEJH
OIAA,30.37,48.25,12.0,Abadan,Asia/Tehran,Abadan
HEPS,31.27,32.3,3.0,Port Said,Africa/Cairo,Port Said
OENG,17.62,44.42,1191.0,Najran,Asia/Riyadh,Najran
OIMS,36.22,57.67,1017.0,Sabzevar,Asia/Tehran,Sabzevar
DAAD,35.33,4.2,433.0,Bou-Saada,Africa/Algiers,Bou-Saada
40007,36.18,37.2,379.0,ALEPPO INT. AEROPORT,Asia/Damascus,ALEPPO INT. AEROPORT
40025,35.4,35.93,12.0,BASEL ASSAD INT.  AIRPORT,Asia/Damascus,Latakia
HESG,26.34,31.74,83.0,Sohag International Airport,Africa/Cairo,Sohag International Airport
DABC,36.28,6.62,698.0,Constantine,Africa/Algiers,Constantine
60060,29.37,-10.18,61.0,SIDI IFNI,Africa/Casablanca,SIDI IFNI
DAOB,35.34114,1.46315,1070.0,Tiaret,Africa/Algiers,Tiaret
OMRK,25.62,55.93,22.0,Ras Al Khaimah International Airport,Asia/Dubai,Ras Al Khaimah International Airport
40603,36.3667,42.4833,373.0,TEL-AFER,Asia/Baghdad,TEL-AFER
DAUZ,28.05,9.63,545.0,In Amenas,Africa/Algiers,In Amenas
DAUH,31.67,6.15,165.0,Hassi-Messaoud,Africa/Algiers,Hassi-Messaoud
GABS,12.53,-7.95,371.0,Bamako / Senou,Africa/Bamako,Bamako / Senou
VOBG,12.95,77.67,887.0,Bangalore / Hindustan,Asia/Kolkata,Bangalore / Hindustan
