id,lat,lon,alt,name,tz,utc_offset
KOAK,37.72,-122.24,1.0,"Oakland, Metro Oakland International Airport",America/Los_Angeles,UTC-8
KSFO,37.62,-122.36,1.0,"San Francisco, San Francisco International Airport",America/Los_Angeles,UTC-8
KLAS,36.08,-115.16,659.0,"Las Vegas, McCarran International Airport",America/Los_Angeles,UTC-8
KLSV,36.23,-115.03,557.0,Nellis Air Force Base,America/Los_Angeles,UTC-8
KVGT,36.21,-115.2,668.0,"Las Vegas, North Las Vegas Airport",America/Los_Angeles,UTC-8
KCBF,41.27,-95.77,349.0,Council Bluffs,America/Chicago,UTC-6
KOFF,41.12,-95.9,300.0,Omaha / Offutt Air Force Base,America/Chicago,UTC-6
KOMA,41.31,-95.9,299.0,"Omaha, Eppley Airfield",America/Chicago,UTC-6
KHOU,29.64,-95.28,14.0,"Houston, Houston Hobby Airport",America/Chicago,UTC-6
KMCJ,29.72,-95.4,69.0,HOUSTON/UNIV,America/Chicago,UTC-6
KDAL,32.85,-96.86,136.0,"Dallas, Dallas Love Field",America/Chicago,UTC-6
KRBD,32.68,-96.86,198.0,"Dallas, Redbird Airport",America/Chicago,UTC-6
KATL,33.64,-84.43,305.0,"Atlanta, Hartsfield - Jackson Atlanta International Airport",America/New_York,UTC-5
KFTY,33.78,-84.52,242.0,"Atlanta, Fulton County Airport-Brown Field",America/New_York,UTC-5
KPDK,33.88,-84.3,277.0,"Atlanta, De Kalb-Peachtree Airport",America/New_York,UTC-5
KMYF,32.81,-117.14,126.0,"San Diego, Montgomery Field",America/Los_Angeles,UTC-8
KNKX,32.87,-117.14,145.0,"San Diego, Miramar MCAS/Mitscher Field Airport",America/Los_Angeles,UTC-8
KNRS,32.56,-117.11,7.0,"Imperial Beach, Naval Auxiliary Landing Field",America/Los_Angeles,UTC-8
KNZY,32.69,-117.21,7.0,"San Diego, North Island, Naval Air Station",America/Los_Angeles,UTC-8
KSAN,32.73,-117.18,2.0,"San Diego, San Diego International-Lindbergh Field",America/Los_Angeles,UTC-8
KNUQ,37.41,-122.05,10.0,"Mountain View, Moffett Field",America/Los_Angeles,UTC-8
KRHV,37.33,-121.82,37.0,San Jose / Reid / Hillv,America/Los_Angeles,UTC-8
KSJC,37.36,-121.92,15.0,"San Jose, San Jose International Airport",America/Los_Angeles,UTC-8
KXSA,37.86,-76.89,41.0,Tappahannock-Essex County Airport,America/New_York,UTC-5
KPHX,33.43,-112.05,340.0,"Phoenix, Phoenix Sky Harbor International Airport",America/Phoenix,UTC-7
KDSM,41.54,-93.67,259.0,"Des Moines, Des Moines International Airport",America/Chicago,UTC-6
KIKV,41.69,-93.57,276.0,"Ankeny, Ankeny Regional Airport",America/Chicago,UTC-6
KPHL,39.87,-75.23,2.0,"Philadelphia, Philadelphia International Airport",America/New_York,UTC-5
KPNE,40.08,-75.01,35.0,"Philadelphia, Northeast Philadelphia Airport",America/New_York,UTC-5
KMCF,27.85,-82.5,2.0,"Macdill Air Force Base, Fl.",America/New_York,UTC-5
KTPA,27.96,-82.54,3.0,"Tampa, Tampa International Airport",America/New_York,UTC-5
KVDF,28.01,-82.35,3.0,"Tampa, Vandenberg Airport",America/New_York,UTC-5
KTPF,27.92,-82.45,1.0,"Tampa, Peter O Knight Airport",America/New_York,UTC-5
KCMH,39.99,-82.88,244.0,"Columbus, Port Columbus International Airport",America/New_York,UTC-5
KLCK,39.82,-82.93,213.0,Rickenbacker Air National Guard Base,America/New_York,UTC-5
KOSU,40.08,-83.08,274.0,"Columbus, Ohio State University Airport",America/New_York,UTC-5
KTZR,39.9,-83.14,274.0,"Columbus, Bolton Field Airport",America/New_York,UTC-5
KIAD,38.93,-77.45,91.0,"Washington DC, Washington-Dulles International Airport",America/New_York,UTC-5
KJYO,39.08,-77.57,106.0,Leesburg / Godfrey,America/New_York,UTC-5
KBKF,39.71,-104.76,1682.0,"Aurora, Buckley Air Force Base Airport",America/Denver,UTC-7
KCLT,35.21,-80.95,212.0,"Charlotte, Charlotte / Douglas International Airport",America/New_York,UTC-5
KSAT,29.53,-98.46,237.0,"San Antonio, San Antonio International Airport",America/Chicago,UTC-6
KSKF,29.38,-98.58,200.0,Kelly Air Force Base,America/Chicago,UTC-6
KSSF,29.34,-98.47,170.0,"San Antonio, Stinson Municipal Airport",America/Chicago,UTC-6
KPDX,45.59,-122.6,61.0,"Portland, Portland International Airport",America/Los_Angeles,UTC-8
KVUO,45.62,-122.66,21.0,"Vancouver, Pearson Field Airport",America/Los_Angeles,UTC-8
KANE,45.15,-93.22,277.0,Minneapolis / Blaine,America/Chicago,UTC-6
KMIC,45.06,-93.35,265.0,"Minneapolis, Crystal Airport",America/Chicago,UTC-6
KMSP,44.88,-93.23,256.0,"Minneapolis, Minneapolis-St. Paul International Airport",America/Chicago,UTC-6
KSTP,44.93,-93.05,213.0,"St. Paul, St. Paul Downtown Holman Field",America/Chicago,UTC-6
KAUS,30.19,-97.67,152.0,"Austin, Austin-Bergstrom International Airport",America/Chicago,UTC-6
KATT,30.32,-97.77,217.0,"Austin City, Austin Camp Mabry",America/Chicago,UTC-6
KBOS,42.36,-71.01,1.0,"Boston, Logan International Airport",America/New_York,UTC-5
KMQE,42.21,-71.11,166.0,East Milton,America/New_York,UTC-5
KSLC,40.78,-111.97,1286.0,"Salt Lake City, Salt Lake City International Airport",America/Denver,UTC-7
KU42,40.62,-111.99,1392.0,"Salt Lake City, Salt Lake City Municipal 2 Airport",America/Denver,UTC-7
KCPS,38.57,-90.16,124.0,"Cahokia / St. Louis, St. Louis Downtown Airport",America/Chicago,UTC-6
KCRG,30.34,-81.51,12.0,"Jacksonville, Craig Municipal Airport",America/New_York,UTC-5
KJAX,30.49,-81.69,6.0,"Jacksonville, Jacksonville International Airport",America/New_York,UTC-5
KNIP,30.23,-81.67,3.0,"Jacksonville, Naval Air Station",America/New_York,UTC-5
KAGC,40.35,-79.92,333.0,"Pittsburgh, Allegheny County Airport",America/New_York,UTC-5
KCVG,39.04,-84.67,271.0,"Covington / Cincinnati, Cincinnati / Northern Kentucky Inter",America/New_York,UTC-5
KLUK,39.11,-84.42,165.0,"Cincinnati, Cincinnati Municipal Airport Lunken Field",America/New_York,UTC-5
KBNA,36.12,-86.69,183.0,"Nashville, Nashville International Airport",America/Chicago,UTC-6
KJWN,36.18,-86.89,151.0,John C Tune Airport,America/Chicago,UTC-6
KSPI,39.85,-89.68,178.0,"Springfield, Abraham Lincoln Capital Airport",America/Chicago,UTC-6
KEYE,39.83,-86.3,245.0,"Indianapolis, Eagle Creek Airpark",America/New_York,UTC-5
KIND,39.73,-86.28,240.0,"Indianapolis, Indianapolis International Airport",America/New_York,UTC-5
KLOU,38.23,-85.66,164.0,"Louisville, Bowman Field Airport",America/New_York,UTC-5
KSDF,38.18,-85.73,138.0,"Louisville, Standiford Field",America/New_York,UTC-5
KJVY,38.37,-85.74,144.0,Clark Regional Airport,America/New_York,UTC-5
KCAE,33.94,-81.12,61.0,"Columbia, Columbia Metropolitan Airport",America/New_York,UTC-5
KCUB,33.97,-80.99,52.0,"Columbia, Columbia Owens Downtown Airport",America/New_York,UTC-5
KGKY,32.66,-97.1,182.0,"Arlington, Arlington Municipal Airport",America/Chicago,UTC-6
KGPM,32.7,-97.05,176.0,"Grand Prairie, Grand Prairie Municipal Airport",America/Chicago,UTC-6
KDMA,32.17,-110.88,805.0,Davis-Monthan Air Force Base,America/Phoenix,UTC-7
KTUS,32.13,-110.96,779.0,"Tucson, Tucson International Airport",America/Phoenix,UTC-7
KROC,43.12,-77.68,167.0,"Rochester, Greater Rochester International Airport",America/New_York,UTC-5
KBKL,41.53,-81.67,174.0,"Cleveland, Burke Lakefront Airport",America/New_York,UTC-5
KCGF,41.57,-81.48,262.0,Cleveland / Cuyahoga,America/New_York,UTC-5
KCLE,41.41,-81.85,230.0,"Cleveland, Cleveland-Hopkins International Airport",America/New_York,UTC-5
KBWI,39.17,-76.68,45.0,"Baltimore, Baltimore-Washington International Airport",America/New_York,UTC-5
KMTN,39.33,-76.42,1.0,Baltimore / Martin,America/New_York,UTC-5
KMKC,39.12,-94.6,225.0,"Kansas City, Kansas City Downtown Airport",America/Chicago,UTC-6
KALB,42.75,-73.8,90.0,"Albany, Albany International Airport",America/New_York,UTC-5
