id,lat,lon,alt,name,tz,search_name,random_group
c101020300,31.4,121.45,5.5,宝山,Asia/Shanghai,宝山,3
c101020100,31.2,121.43,4.6,徐家汇,Asia/Shanghai,徐家汇,3
c101020600,31.23,121.53,4.4,浦东,Asia/Shanghai,浦东,3
c101280102,22.93,113.32,12.2,番禺,Asia/Shanghai,番禺,3
c101300504,24.98,110.0,156.8,永福,Asia/Shanghai,永福,3
c101300506,25.62,110.67,224.0,兴安,Asia/Shanghai,兴安,3
c101190404,31.4,121.0,3.2,昆山,Asia/Shanghai,昆山,3
c101020500,31.38,121.2,6.5,嘉定,Asia/Shanghai,嘉定,3
c101190408,31.52,121.1,5.7,太仓,Asia/Shanghai,太仓,3
ZSHC,30.23,120.17,16.0,Hangzhou,Asia/Shanghai,Hangzhou,3
c101210101,30.23,120.17,41.7,杭州,Asia/Shanghai,杭州,3
c101210102,30.18,120.28,96.5,萧山,Asia/Shanghai,萧山,3
c101281601,22.97,113.73,56.0,东莞,Asia/Shanghai,东莞,3
ZUUU,30.58333,103.95,535.0,Chengdu,Asia/Shanghai,Chengdu,3
c101270106,30.58,103.92,494.6,双流,Asia/Shanghai,双流,3
c101270103,30.78,104.18,514.5,新都,Asia/Shanghai,新都,3
c101270102,30.62,104.27,505.3,龙泉驿,Asia/Shanghai,龙泉驿,3
c101270104,30.75,103.87,547.7,温江,Asia/Shanghai,温江,3
c101190107,32.07,118.58,46.6,浦口,Asia/Shanghai,浦口,3
ZHCC,34.72,113.65,112.0,Zhengzhou,Asia/Shanghai,Zhengzhou,3
c101180103,34.8,113.43,140.9,荥阳,Asia/Shanghai,荥阳,3
c101180101,34.72,113.65,110.4,郑州,Asia/Shanghai,郑州,3
ZHHH,30.62,114.13,14.0,Wuhan,Asia/Shanghai,Wuhan,3
ZGHA,28.18916,113.21963,70.0,Changsha,Asia/Shanghai,Changsha,3
c101250106,28.22,113.2,101.4,马坡岭,Asia/Shanghai,马坡岭,3
ZSOF,31.78333,117.3,24.0,Hefei,Asia/Shanghai,Hefei,3
c101220104,31.73,117.13,21.8,肥西,Asia/Shanghai,肥西,3
c101220101,31.78,117.3,27.0,合肥,Asia/Shanghai,合肥,3
c101110103,34.43,108.97,410.0,泾河,Asia/Shanghai,泾河,3
c101120101,36.6,117.0,170.3,济南,Asia/Shanghai,济南,3
ZGSZ,22.63926,113.81066,2.0,Shenzhen,Asia/Shanghai,Shenzhen,3
c101042500,29.98,108.12,632.3,石柱,Asia/Shanghai,石柱,3
c101080601,42.3,118.83,668.6,赤峰,Asia/Shanghai,赤峰,3
c101220103,31.88,117.47,25.0,肥东,Asia/Shanghai,肥东,3
c101070501,41.3,123.78,185.4,本溪,Asia/Shanghai,本溪,3
c101020900,31.02,121.18,8.1,松江,Asia/Shanghai,松江,3
c101230103,26.15,119.15,57.8,闽侯,Asia/Shanghai,闽侯,3
c101230101,26.08,119.28,84.0,福州,Asia/Shanghai,福州,3
c101300110,22.78,108.55,152.0,南宁,Asia/Shanghai,南宁,3
c101300103,22.77,108.48,74.7,邕宁,Asia/Shanghai,邕宁,3
c101090103,38.15,114.57,71.0,正定,Asia/Shanghai,正定,3
c101090104,37.88,114.63,52.9,栾城,Asia/Shanghai,栾城,4
c101280801,22.85,113.25,21.4,顺德,Asia/Shanghai,顺德,4
c101240401,27.9,116.27,73.7,临川,Asia/Shanghai,临川,4
c101240101,28.6,115.92,46.9,南昌,Asia/Shanghai,南昌,4
c101240103,28.55,115.95,31.9,南昌县,Asia/Shanghai,南昌县,4
c101240102,28.7,115.83,40.0,新建,Asia/Shanghai,新建,4
ZUCK,29.71667,106.63333,310.0,Chongqing,Asia/Shanghai,Chongqing,4
c101040700,29.73,106.62,464.7,渝北,Asia/Shanghai,渝北,4
c101040100,29.58,106.47,259.1,沙坪坝,Asia/Shanghai,沙坪坝,4
c101300701,24.42,111.5,148.7,贺州,Asia/Shanghai,贺州,4
ZBTJ,39.18,117.35,2.0,Tianjin / Zhangguizhu,Asia/Shanghai,Tianjin / Zhangguizhu,4
c101030100,39.08,117.33,1.9,东丽,Asia/Shanghai,东丽,4
c101030500,39.08,117.05,3.5,西青,Asia/Shanghai,西青,4
c101030600,39.23,117.13,3.4,北辰,Asia/Shanghai,北辰,4
c101011100,39.72,116.35,37.5,大兴,Asia/Shanghai,大兴,4
ZPPP,24.99236,102.74354,1898.0,Kunming,Asia/Shanghai,Kunming,4
c101290101,25.0,102.65,1888.1,昆明,Asia/Shanghai,昆明,4
c101290108,24.9,102.82,1976.6,呈贡,Asia/Shanghai,呈贡,4
c101190201,31.62,120.35,3.2,无锡,Asia/Shanghai,无锡,4
ZYTX,41.8,123.4,46.0,Shenyang / Taokian,Asia/Shanghai,Shenyang / Taokian,4
c101070101,41.73,123.52,49.0,沈阳,Asia/Shanghai,沈阳,4
c101280800,23.15,113.02,30.1,南海,Asia/Shanghai,南海,4
c101260107,26.83,106.6,1296.7,修文,Asia/Shanghai,修文,4
c101190501,32.08,120.98,4.8,南通,Asia/Shanghai,南通,4
ZYCC,43.9,125.22,229.0,Changchun,Asia/Shanghai,Changchun,4
c101060101,43.9,125.22,236.8,长春,Asia/Shanghai,长春,4
c101020800,31.13,121.12,4.0,青浦,Asia/Shanghai,青浦,4
c101270110,30.45,103.82,467.0,新津,Asia/Shanghai,新津,4
c101010700,40.22,116.22,76.2,昌平,Asia/Shanghai,昌平,4
ZSAM,24.48,118.08,1.0,Xiamen,Asia/Shanghai,Xiamen,4
c101230201,24.48,118.07,139.4,厦门,Asia/Shanghai,厦门,4
c101200201,32.0,112.08,163.4,襄阳,Asia/Shanghai,襄阳,4
ZBYN,37.78,112.55,747.0,Taiyuan,Asia/Shanghai,Taiyuan,4
c101100106,37.93,112.48,806.5,尖草坪,Asia/Shanghai,尖草坪,4
c101100101,37.75,112.55,776.2,小店,Asia/Shanghai,小店,4
ZBHH,40.85,111.81667,1093.0,Hohhot,Asia/Shanghai,Hohhot,4
c101080106,40.75,111.7,1045.4,呼和浩特郊区站,Asia/Shanghai,呼和浩特郊区站,4
ZSNB,29.83,121.46,4.0,Ningbo Lishe International Airport,Asia/Shanghai,Ningbo Lishe International Airport,4
c101210412,29.98,121.6,4.0,镇海,Asia/Shanghai,镇海,4
c101210401,29.8,121.5,6.2,鄞州,Asia/Shanghai,鄞州,4
c101210410,29.88,121.83,5.0,北仑,Asia/Shanghai,北仑,4
c101280302,23.18,114.25,50.2,博罗,Asia/Shanghai,博罗,4
c101280303,23.07,114.37,108.5,惠阳,Asia/Shanghai,惠阳,4
c101100401,37.68,112.77,831.2,榆次,Asia/Shanghai,榆次,4
c101270107,30.82,103.88,558.5,郫县,Asia/Shanghai,郫县,4
ZYTL,38.9,121.63,105.0,Dalian,Asia/Shanghai,Dalian,4
c101070201,38.9,121.63,91.5,大连,Asia/Shanghai,大连,4
c101110404,38.03,110.48,894.4,佳县,Asia/Shanghai,佳县,4
c101161301,36.55,104.15,1736.7,白银,Asia/Shanghai,白银,4
c101271401,29.57,103.75,424.2,乐山,Asia/Shanghai,乐山,4
c101210904,29.33,120.08,90.0,义乌,Asia/Shanghai,义乌,4
c101210905,29.27,120.22,89.9,东阳,Asia/Shanghai,东阳,4
c101100504,36.33,113.23,947.6,潞城,Asia/Shanghai,潞城,4
c101100501,36.07,113.03,1046.9,长治,Asia/Shanghai,长治,4
c101100511,36.12,113.2,1122.0,壶关,Asia/Shanghai,壶关,4
c101031100,39.05,117.72,4.8,塘沽,Asia/Shanghai,塘沽,4
c101050501,46.62,126.97,179.6,北林,Asia/Shanghai,北林,4
c101190605,32.45,119.58,5.2,江都,Asia/Shanghai,江都,4
c101190601,32.42,119.42,9.9,扬州,Asia/Shanghai,扬州,4
c101240701,25.87,115.0,137.5,赣县,Asia/Shanghai,赣县,4
RJAI,35.73,139.92,14.0,Ichikawa,Asia/Tokyo,Ichikawa,4
RJTI,35.63,139.85,5.0,Tokyo Heliport,Asia/Tokyo,Tokyo Heliport,4
RJTL,35.8,140.02,20.0,Shimofusa Ab,Asia/Tokyo,Shimofusa Ab,4
RJOY,34.6,135.6,12.0,Yao Airport,Asia/Tokyo,Yao Airport,4
RJOO,34.78,135.45,7.0,Osaka International Airport,Asia/Tokyo,Osaka International Airport,4
RJTC,35.7,139.4,70.0,Tachikawa Ab,Asia/Tokyo,Tachikawa Air Base,4
RJTR,35.52,139.4,83.0,Zama Airfield,Asia/Tokyo,Zama Ab,4
RJTT,35.55,139.78,1.0,Tokyo International Airport,Asia/Tokyo,Tokyo International Airport,4
RJTF,35.67,139.53,40.0,Chofu Airport,Asia/Tokyo,Chofu Airport,4
RKSS,37.55,126.8,15.0,Seoul / Kimp'O International Airport,Asia/Seoul,Seoul / Kimp'O International Airport,4
RKSF,37.5,126.93,33.0,Seoul / Yongdungp'O Rokaf Wc,Asia/Seoul,Seoul / Yongdungp'O Rokaf Wc,4
RKSM,37.43,127.12,27.0,Seoul E Ab,Asia/Seoul,Seoul E Ab,4
RKSY,37.52,126.98,14.0,Yongsan / H-208 Hp,Asia/Seoul,Yongsan / H-208 Hp,4
47159,35.1,129.03,3.0,BUSAN,Asia/Seoul,BUSAN,4
RKPK,35.18,128.93,3.0,Pusan / Kimhae International Airport,Asia/Seoul,Pusan / Kimhae International Airport,4
